id,name,type,type_damage,pp,power,description,name_corrected
288,grudge,Ghost, Status,5,0,If the user faints  the user’s grudge fully depletesthe PP of the opponent’s move that knocked it out.,grudge
289,snatch,Dark, Status,10,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,snatch
290,secret power,Normal, Physical,20,70,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,secret-power
291,dive,Water, Physical,10,80,The user dives on the first turn  then floats up and attacks on the next turn.,dive
292,arm thrust,Fighting, Physical,20,15,The user attacks the target with open-palmed arm thrusts. This move hits two to five times in a row.,arm-thrust
293,camouflage,Normal, Status,20,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,camouflage
294,tail glow,Bug, Status,20,0,This move can't be used. It's recommended that this move is forgotten. Once forgotten  this move can't be remembered.,tail-glow
295,luster purge,Psychic, Special,5,70,The user lets loose a damaging burst of light. This may also lower the target's Sp. Def stat.,luster-purge
296,mist ball,Psychic, Special,5,70,A mist-like flurry of down envelops and damages the target. This may also lower the target's Sp. Atk stat.,mist-ball
297,feather dance,Flying, Status,15,0,The user covers the target's body with a mass of down that harshly lowers its Attack stat.,feather-dance
298,teeter dance,Normal, Status,20,0,The user performs a wobbly dance that confuses every Pokémon around it.,teeter-dance
299,blaze kick,Fire, Physical,10,85,The user launches a kick that has a heightened chance of landing a critical hit. This may also leave the target with a burn.,blaze-kick
300,mud sport,Ground, Status,15,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,mud-sport
301,ice ball,Ice, Physical,20,30,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,ice-ball
302,needle arm,Grass, Physical,15,60,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,needle-arm
303,slack off,Normal, Status,10,0,The user slacks off  restoring its own HP by up to half its max HP.,slack-off
304,hyper oice,Normal, Special,10,90,The user attacks by letting loose a horribly loud  resounding cry.,hyper-oice
305,poison fang,Poison, Physical,15,50,The user bites the target with toxic fangs. This may also leave the target badly poisoned.,poison-fang
306,crush claw,Normal, Physical,10,75,The user slashes the target with hard and sharp claws. This may also lower the target's Defense stat.,crush-claw
307,blast burn,Fire, Special,5,150,The target is razed by a fiery explosion. The user can't move on the next turn.,blast-burn
308,hydro cannon,Water, Special,5,150,The target is hit with a watery blast. The user can't move on the next turn.,hydro-cannon
309,meteor mash,Steel, Physical,10,90,The target is hit with a hard punch fired like a meteor. This may also boost the user’s Attack stat.,meteor-mash
310,astonish,Ghost, Physical,15,30,The user attacks the target by crying out in a startling fashion. This may also make the target flinch.,astonish
311,weather ball,Normal, Special,10,50,This move's type and power change depending on the weather at the time the move is used.,weather-ball
312,aromatherapy,Grass, Status,5,0,This move can't be used. It's recommended that this move is forgotten. Once forgotten  this move can't be remembered.,aromatherapy
313,fake tears,Dark, Status,20,0,The user feigns crying to fluster the target. This harshly lowers the target's Sp. Def stat.,fake-tears
314,air cutter,Flying, Special,25,60,The user launches razor-like wind to slash opposing Pokémon. This move has a heightened chance of landing a critical hit.,air-cutter
315,overheat,Fire, Special,5,130,The user attacks the target with all its might. The recoil from this move harshly lowers the user's Sp. Atk stat.,overheat
316,odor sleuth,Normal, Status,40,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,odor-sleuth
317,rock tomb,Rock, Physical,15,60,The user hurls boulders at the target to inflict damage. This also lowers the target's Speed stat by cutting off its movement.,rock-tomb
318,silver wind,Bug, Special,5,60,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,silver-wind
319,metal sound,Steel, Status,40,0,A horrible sound like scraping metal harshly lowers the target's Sp. Def stat.,metal-sound
320,grass whistle,Grass, Status,15,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,grass-whistle
321,tickle,Normal, Status,20,0,The user tickles the target into laughing  lowering its Attack and Defense stats.,tickle
322,cosmic power,Psychic, Status,20,0,The user absorbs a mystical power from space to boost its Defense and Sp. Def stats.,cosmic-power
323,water spout,Water, Special,5,150,The user spouts water to damage opposing Pokémon. The lower the user's HP  the lower the move's power.,water-spout
324,signal beam,Bug, Special,15,75,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,signal-beam
325,shadow punch,Ghost, Physical,20,60,The user throws a punch from the shadows. This attack never misses.,shadow-punch
326,extrasensory,Psychic, Special,20,80,The user attacks with an odd  unseeable power. This may also make the target flinch.,extrasensory
327,sky uppercut,Fighting, Physical,15,85,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,sky-uppercut
328,sand tomb,Ground, Physical,15,35,The user traps the target inside a harshly raging sandstorm that inflicts damage for four to five turns.,sand-tomb
329,sheer cold,Ice, Special,5,0,The target faints instantly. This move is less likely to hit the target if used by Pokémon other than Ice types.,sheer-cold
330,muddy water,Water, Special,10,90,The user attacks by shooting muddy water at opposing Pokémon. This may also lower their accuracy.,muddy-water
331,bullet seed,Grass, Physical,30,25,The user attacks by forcefully shooting seeds at the target. This move hits two to five times in a row.,bullet-seed
332,aerial ace,Flying, Physical,20,60,The user confounds the target with speed  then slashes. This attack never misses.,aerial-ace
333,icicle spear,Ice, Physical,30,25,The user attacks by launching sharp icicles at the target. This move hits two to five times in a row.,icicle-spear
334,iron defense,Steel, Status,15,0,The user hardens its body's surface like iron  sharply boosting its Defense stat.,iron-defense
335,block,Normal, Status,5,0,The user blocks the target's way with arms spread wide to prevent the target from fleeing.,block
336,howl,Normal, Status,40,0,The user howls loudly to rouse itself and its allies. This boosts their Attack stats.,howl
337,dragon claw,Dragon, Physical,15,80,The user slashes the target with huge  sharp claws to inflict damage.,dragon-claw
338,frenzy plant,Grass, Special,5,150,The user slams the target with the roots of an enormous tree. The user can't move on the next turn.,frenzy-plant
339,bulk up,Fighting, Status,20,0,The user tenses its muscles to bulk up its body  boosting its Attack and Defense stats.,bulk-up
340,bounce,Flying, Physical,5,85,The user bounces up high on the first turn  then drops onto the target on the next turn. This may also leave the target with paralysis.,bounce
341,mud shot,Ground, Special,15,55,The user attacks by hurling a blob of mud at the target. This also lowers the target's Speed stat.,mud-shot
342,poison tail,Poison, Physical,25,50,The user hits the target with its tail. This move has a heightened chance of landing a critical hit and may also poison the target.,poison-tail
343,coet,Normal, Physical,25,60,The user endearingly approaches the target  then steals the target's held item.,coet
344,volt tackle,Electric, Physical,15,120,The user electrifies itself and charges the target.This also damages the user quite a lot. This attackmay leave the target with paralysis.,volt-tackle
345,magical leaf,Grass, Special,20,60,The user scatters curious leaves that chase the target. This attack never misses.,magical-leaf
346,water sport,Water, Status,15,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,water-sport
347,calm mind,Psychic, Status,20,0,The user quietly focuses its mind and calms its spirit to boost its Sp. Atk and Sp. Def stats.,calm-mind
348,leaf blade,Grass, Physical,15,90,The user handles a sharp leaf like a sword and cuts the target to inflict damage. This move has a heightened chance of landing a critical hit.,leaf-blade
349,dragon dance,Dragon, Status,20,0,The user vigorously performs a mystic  powerful dance that boosts its Attack and Speed stats.,dragon-dance
350,rock blast,Rock, Physical,10,25,The user attacks by hurling hard rocks at the target. This move hits two to five times in a row.,rock-blast
351,shock wave,Electric, Special,20,60,The user strikes the target with a quick jolt of electricity. This attack never misses.,shock-wave
352,water pulse,Water, Special,20,60,The user attacks the target with a pulsing blast of water. This may also confuse the target.,water-pulse
353,doom desire,Steel, Special,5,140,This move can't be used. It's recommended that this move is forgotten. Once forgotten  this move can't be remembered.,doom-desire
354,psycho boost,Psychic, Special,5,140,The user attacks the target with all its might. The recoil from this move harshly lowers the user's Sp. Atk stat.,psycho-boost
355,roost,Flying, Status,10,0,The user lands and rests its body. This move restores the user's HP by up to half its max HP.,roost
356,graty,Psychic, Status,5,0,Enables Flying types or Pokémon with the Levitate Ability to be hit by Ground-type moves for five turns. Moves that involve flying can't be used.,graty
357,miracle eye,Psychic, Status,40,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,miracle-eye
358,wake-up slap,Fighting, Physical,10,70,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,wake-up-slap
359,hammer arm,Fighting, Physical,10,100,The user swings its strong  heavy fist at the target to inflict damage. This also lowers the user's Speed stat.,hammer-arm
360,gyro ball,Steel, Physical,5,0,The user tackles the target with a high-speed spin. The slower the user is than the target  the greater the move's power.,gyro-ball
361,healing wish,Psychic, Status,10,0,The user faints. In return  the Pokémon taking its place will have its HP restored and status conditions cured.,healing-wish
362,brine,Water, Special,10,65,This move's power is doubled if the target's HP is at half or less.,brine
363,natural gift,Normal, Physical,15,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,natural-gift
364,feint,Normal, Physical,10,30,This attack can hit a target using a move such as Protect or Detect. This also lifts the effects of those moves.,feint
365,pluck,Flying, Physical,20,60,The user attacks by pecking the target. If the target is holding a Berry  the user eats it and gains its effect.,pluck
366,tailwind,Flying, Status,15,0,The user whips up a turbulent whirlwind that boosts the Speed stats of itself and its allies for four turns.,tailwind
367,acupressure,Normal, Status,30,0,The user applies pressure to stress points  sharply boosting one of its or its allies' stats.,acupressure
368,metal burst,Steel, Physical,10,0,The user retaliates with much greater force against the opponent that last inflicted damage on it.,metal-burst
369,u-turn,Bug, Physical,20,70,After making its attack  the user rushes back to switch places with a party Pokémon in waiting.,u-turn
370,close combat,Fighting, Physical,5,120,The user fights the target up close  inflicting damage without guarding itself. This also lowers the user's Defense and Sp. Def stats.,close-combat
371,payback,Dark, Physical,10,50,The user stores power  then attacks. This move's power is doubled if the user moves after the target.,payback
372,assurance,Dark, Physical,10,60,This move's power is doubled if the target has already taken some damage in the same turn.,assurance
373,embargo,Dark, Status,15,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,embargo
374,fling,Dark, Physical,10,0,The user flings its held item at the target to attack. This move's power and effects depend on the item.,fling
375,psycho shift,Psychic, Status,10,0,Using its psychic power of suggestion  the usertransfers its status conditions to the target.,psycho-shift
376,trump card,Normal, Special,5,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,trump-card
377,heal block,Psychic, Status,15,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,heal-block
378,wring out,Normal, Special,5,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,wring-out
379,power trick,Psychic, Status,10,0,The user employs its psychic power to switch itsAttack stat with its Defense stat.,power-trick
380,gastro acid,Poison, Status,10,0,The user hurls up its stomach acids on the target. The fluid eliminates the effect of the target's Ability.,gastro-acid
381,lucky chant,Normal, Status,30,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,lucky-chant
382,me first,Normal, Status,20,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,me-first
383,copycat,Normal, Status,20,0,The user mimics the move used immediately before it. The move fails if no other move has been used yet.,copycat
384,power swap,Psychic, Status,10,0,The user employs its psychic power to switch changes to its Attack and Sp. Atk stats with the target.,power-swap
385,guard swap,Psychic, Status,10,0,The user employs its psychic power to switch changes to its Defense and Sp. Def stats with the target.,guard-swap
386,punishment,Dark, Physical,5,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,punishment
387,last resort,Normal, Physical,5,140,This move can be used only after the user has used all the other moves it knows in the battle.,last-resort
388,worry seed,Grass, Status,10,0,A seed that causes worry is planted on the target. It prevents sleep by making the target's Ability Insomnia.,worry-seed
389,sucker punch,Dark, Physical,5,70,This move enables the user to attack first. This move fails if the target is not readying an attack.,sucker-punch
390,toxic spikes,Poison, Status,20,0,The user lays a trap of poison spikes at the feet of the opposing team. The spikes will poison opposing Pokémon that switch into battle.,toxic-spikes
391,heart swap,Psychic, Status,10,0,The user employs its psychic power to switch stat changes with the target.,heart-swap
392,aqua ring,Water, Status,20,0,The user envelops itself in a veil made of water. It regains some HP every turn.,aqua-ring
393,magnet rise,Electric, Status,10,0,The user levitates using electrically generated magnetism for five turns.,magnet-rise
394,flare blitz,Fire, Physical,15,120,The user cloaks itself in fire and charges the target to inflict damage. This also damages the user quite a lot and may leave the target with a burn.,flare-blitz
395,force palm,Fighting, Physical,10,60,The target is attacked with a shock wave. This may also leave the target with paralysis.,force-palm
396,aura sphere,Fighting, Special,20,80,The user lets loose a pulse of aura power from deep within its body at the target. This attack never misses.,aura-sphere
397,rock polish,Rock, Status,20,0,The user polishes its body to reduce drag. This sharply boosts the user's Speed stat.,rock-polish
398,poison jab,Poison, Physical,20,80,The target is stabbed with a tentacle  an arm  or the like steeped in poison. This may also poison the target.,poison-jab
399,dark pulse,Dark, Special,15,80,The user releases a horrible aura imbued with ill intent. This may also make the target flinch.,dark-pulse
400,night slash,Dark, Physical,15,70,The user slashes the target the instant an opportunity arises. This move has a heightened chance of landing a critical hit.,night-slash
401,aqua tail,Water, Physical,10,90,The user attacks by swinging its tail as if it were a vicious wave in a raging storm.,aqua-tail
402,seed bomb,Grass, Physical,15,80,The user attacks by slamming a barrage of hard-shelled seeds down on the target from above.,seed-bomb
403,air slash,Flying, Special,15,75,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.,air-slash
404,x-scissor,Bug, Physical,15,80,The user slashes at the target by crossing its scythes  claws  or the like as if they were a pair of scissors.,x-scissor
405,bug buzz,Bug, Special,10,90,The user vibrates to generate a damaging sound wave. This may also lower the target's Sp. Def stat.,bug-buzz
406,dragon pulse,Dragon, Special,10,85,The target is attacked with a shock wave generated by the user's gaping mouth.,dragon-pulse
407,dragon rush,Dragon, Physical,10,100,The user tackles the target while exhibiting overwhelming menace. This may also make the target flinch.,dragon-rush
408,power gem,Rock, Special,20,80,The user attacks with a ray of light that sparkles as if it were made of gemstones.,power-gem
409,drain punch,Fighting, Physical,10,75,The user attacks with an energy-draining punch. The user's HP is restored by up to half the damage taken by the target.,drain-punch
410,vacuum wave,Fighting, Special,30,40,The user whirls its fists to send a wave of pure vacuum at the target. This move always goes first.,vacuum-wave
411,focus blast,Fighting, Special,5,120,The user heightens its mental focus and unleashes its power. This may also lower the target's Sp. Def stat.,focus-blast
412,energy ball,Grass, Special,10,90,The user draws power from nature and fires it at the target. This may also lower the target's Sp. Def stat.,energy-ball
413,brave bird,Flying, Physical,15,120,The user tucks in its wings and charges at a low altitude. This also damages the user quite a lot.,brave-bird
414,earth power,Ground, Special,10,90,The user makes the ground under the target erupt with power. This may also lower the target's Sp. Def stat.,earth-power
415,switcheroo,Dark, Status,10,0,The user trades held items with the target faster than the eye can follow.,switcheroo
416,giga impact,Normal, Physical,5,150,The user charges at the target using every bit of its power. The user can't move on the next turn.,giga-impact
417,nasty plot,Dark, Status,20,0,The user stimulates its brain by thinking bad thoughts. This sharply boosts the user's Sp. Atk stat.,nasty-plot
418,bullet punch,Steel, Physical,30,40,The user strikes the target with tough punches as fast as bullets. This move always goes first.,bullet-punch
419,avalanche,Ice, Physical,10,60,This move's power is doubled if the target has inflicted damage on the user in the same turn.,avalanche
420,ice shard,Ice, Physical,30,40,The user flash-freezes chunks of ice and hurls them at the target. This move always goes first.,ice-shard
421,shadow claw,Ghost, Physical,15,70,The user attacks by slashing the target with a sharp claw made from shadows. This move has a heightened chance of landing a critical hit.,shadow-claw
422,thunder fang,Electric, Physical,15,65,The user bites with electrified fangs. This may also make the target flinch or leave it with paralysis.,thunder-fang
423,ice fang,Ice, Physical,15,65,The user bites with cold-infused fangs. This may also make the target flinch or leave it frozen.,ice-fang
424,fire fang,Fire, Physical,15,65,The user bites with flame-cloaked fangs. This may also make the target flinch or leave it with a burn.,fire-fang
425,shadow sneak,Ghost, Physical,30,40,The user extends its shadow and attacks the target from behind. This move always goes first.,shadow-sneak
426,mud bomb,Ground, Special,10,65,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,mud-bomb
427,psycho cut,Psychic, Physical,20,70,The user tears at the target with blades formed by psychic power. This move has a heightened chance of landing a critical hit.,psycho-cut
428,zen headbutt,Psychic, Physical,15,80,The user focuses its willpower to its head and attacks the target. This may also make the target flinch.,zen-headbutt
429,mirror shot,Steel, Special,10,65,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,mirror-shot
430,flash cannon,Steel, Special,10,80,The user gathers all its light energy and releases it at once. This may also lower the target's Sp. Def stat.,flash-cannon
431,rock climb,Normal, Physical,20,90,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,rock-climb
432,defog,Flying, Status,15,0,A strong wind blows away the target's barriers such as Reflect or Light Screen. This also lowers the target's evasiveness.,defog
433,trick room,Psychic, Status,5,0,The user creates a bizarre area in which slower Pokémon get to move first for five turns.,trick-room
434,draco meteor,Dragon, Special,5,130,Comets are summoned down from the sky onto the target. The recoil from this move harshly lowers the user’s Sp. Atk stat.,draco-meteor
435,discharge,Electric, Special,15,80,The user strikes everything around it by letting loose a flare of electricity. This may also leave those hit by the attack with paralysis.,discharge
436,laa plume,Fire, Special,15,80,The user torches everything around it in an inferno of scarlet flames. This may also leave those it hits with a burn.,laa-plume
437,leaf storm,Grass, Special,5,130,The user whips up a storm of leaves around the target. The recoil from this move harshly lowers the user's Sp. Atk stat.,leaf-storm
438,power whip,Grass, Physical,10,120,The user violently whirls its vines  tentacles  or the like to lash the target.,power-whip
439,rock wrecker,Rock, Physical,5,150,The user launches a huge boulder at the target to attack. The user can't move on the next turn.,rock-wrecker
440,cross poison,Poison, Physical,20,70,A slashing attack with a poisonous blade that may also poison the target. This move has a heightened chance of landing a critical hit.,cross-poison
441,gunk shot,Poison, Physical,5,120,The user shoots filthy garbage at the target to attack. This may also poison the target.,gunk-shot
442,iron head,Steel, Physical,15,80,The user slams the target with its steel-hard head. This may also make the target flinch.,iron-head
443,magnet bomb,Steel, Physical,20,60,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,magnet-bomb
444,stone edge,Rock, Physical,5,100,The user stabs the target with sharpened stones. This move has a heightened chance of landing a critical hit.,stone-edge
445,captiate,Normal, Status,20,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered.,captiate
446,stealth rock,Rock, Status,20,0,The user lays a trap of levitating stones around the opposing team. The trap damages opposing Pokémon that switch into battle.,stealth-rock
447,grass knot,Grass, Special,20,0,The user snares the target with grass and trips it. The heavier the target  the greater the move's power.,grass-knot
448,chatter,Flying, Special,20,65,The user attacks the target with sound waves ofdeafening chatter. This confuses the target.,chatter
449,judgment,Normal, Special,10,100,The user releases countless shots of light at the target. This move's type changes depending on the kind of plate held by the user.,judgment
450,bug bite,Bug, Physical,20,60,The user attacks by biting the target. If the target is holding a Berry  the user eats it and gains its effect.,bug-bite
451,charge beam,Electric, Special,10,50,The user attacks the target with an electric charge. The residual electricity may also boost the user's Sp. Atk stat.,charge-beam
452,wood hammer,Grass, Physical,15,120,The user slams its rugged body into the target to attack. This also damages the user quite a lot.,wood-hammer
453,aqua jet,Water, Physical,20,40,The user lunges at the target to inflict damage  moving at blinding speed. This move always goes first.,aqua-jet
454,attack order,Bug, Physical,15,90,The user calls out its underlings to pummel the target. This move has a heightened chance of landing a critical hit.,attack-order
455,defend order,Bug, Status,10,0,The user calls out its underlings to shield its body  boosting its Defense and Sp. Def stats.,defend-order
456,heal order,Bug, Status,10,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,heal-order
457,head smash,Rock, Physical,5,150,The user attacks the target with a hazardous full-power headbutt. This also damages the user terribly.,head-smash
458,double hit,Normal, Physical,10,35,The user slams the target with a tail or the like. The target is hit twice in a row.,double-hit
459,roar of time,Dragon, Special,5,150,The user blasts the target with power that distorts even time. The user can't move on the next turn.,roar-of-time
460,spacial rend,Dragon, Special,5,100,The user tears the target along with the space around it. This move has a heightened chance of landing a critical hit.,spacial-rend
461,lunar dance,Psychic, Status,10,0,The user faints. In return  the Pokémon taking its place will have its HP and PP restored and its status conditions cured.,lunar-dance
462,crush grip,Normal, Physical,5,0,The target is crushed with great force. The more HP the target has left  the greater the move's power.,crush-grip
463,magma storm,Fire, Special,5,100,The user traps the target inside a maelstrom of fire that inflicts damage for four to five turns.,magma-storm
464,dark void,Dark, Status,10,0,Opposing Pokémon are dragged into a world of total darkness that puts them to sleep.,dark-void
465,seed flare,Grass, Special,5,120,The user emits a shock wave from its body to attack its target. This may also harshly lower the target's Sp. Def stat.,seed-flare
466,ominous wind,Ghost, Special,5,60,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,ominous-wind
467,shadow force,Ghost, Physical,5,120,The user disappears on the first turn  then attacks on the next turn. This move hits even if the target protects itself.,shadow-force
468,hone claws,Dark, Status,15,0,The user sharpens its claws to boost its Attack stat and accuracy.,hone-claws
469,wide guard,Rock, Status,10,0,The user and its allies are protected from wide-ranging attacks for one turn.,wide-guard
470,guard split,Psychic, Status,10,0,The user employs its psychic power to average its Defense and Sp. Def stats with those of the target.,guard-split
471,power split,Psychic, Status,10,0,The user employs its psychic power to average its Attack and Sp. Atk stats with those of the target.,power-split
472,wonder room,Psychic, Status,10,0,The user creates a bizarre area in which Pokémon's Defense and Sp. Def stats are swapped for five turns.,wonder-room
473,psyshock,Psychic, Special,10,80,The user materializes an odd psychic wave to attack the target. This move deals physical damage.,psyshock
474,venoshock,Poison, Special,10,65,The user drenches the target in a special poisonous liquid. This move's power is doubled if the target is poisoned.,venoshock
475,autotomize,Steel, Status,15,0,The user sheds part of its body to make itself lighterand sharply raise its Speed stat.,autotomize
476,rage powder,Bug, Status,20,0,The user scatters a cloud of irritating powder to draw attention to itself. Opposing Pokémon aim only at the user.,rage-powder
477,telekinesis,Psychic, Status,15,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,telekinesis
478,magic room,Psychic, Status,10,0,The user creates a bizarre area in which Pokémon's held items lose their effects for five turns.,magic-room
479,smack down,Rock, Physical,15,50,The user throws a stone or similar projectile to attack the target. If the target is in the air  it will be knocked down to the ground.,smack-down
480,storm throw,Fighting, Physical,10,60,The user strikes the target with a fierce blow. Thisattack always results in a critical hit.,storm-throw
481,flame burst,Fire, Special,15,70,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,flame-burst
482,sludge wave,Poison, Special,10,95,The user strikes everything around it by swamping the area with a giant sludge wave. This may also poison those it hits.,sludge-wave
483,quiver dance,Bug, Status,20,0,The user lightly performs a beautiful  mystic dance. This boosts the user's Sp. Atk  Sp. Def  and Speed stats.,quiver-dance
484,heavy slam,Steel, Physical,10,0,The user slams into the target with its heavy body. The more the user outweighs the target  the greater the move's power.,heavy-slam
485,synchronoise,Psychic, Special,10,120,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,synchronoise
486,electro ball,Electric, Special,10,0,The user hurls an electric orb at the target. The faster the user is than the target  the greater the move's power.,electro-ball
487,soak,Water, Status,20,0,The user shoots a torrent of water that changes the target's type to Water.,soak
488,flame charge,Fire, Physical,20,50,Cloaking itself in flame  the user attacks the target. Then  building up momentum  the user boosts its Speed stat.,flame-charge
489,coil,Poison, Status,20,0,The user coils up and concentrates. This boosts its Attack and Defense stats as well as its accuracy.,coil
490,low sweep,Fighting, Physical,20,65,The user makes a swift attack on the target's legs  which lowers the target's Speed stat.,low-sweep
491,acid spray,Poison, Special,20,40,The user attacks by spitting fluid that works to melt the target. This also harshly lowers the target's Sp. Def stat.,acid-spray
492,foul play,Dark, Physical,15,95,The user turns the target's strength against it. The higher the target's Attack stat  the greater the damage this move inflicts.,foul-play
493,simple beam,Normal, Status,15,0,The user emits a mysterious psychic wave that changes the target's Ability to Simple.,simple-beam
494,entrainment,Normal, Status,15,0,The user dances with an odd rhythm that compels the target to mimic it  making the target's Ability the same as the user's.,entrainment
495,after you,Normal, Status,15,0,The user helps the target and makes it use its move right after the user.,after-you
496,round,Normal, Special,15,60,The user attacks the target with a song. If others use this move  they will act immediately after the initial user  and the power of their Rounds will be boosted.,round
497,echoed voice,Normal, Special,15,40,The user attacks the target with an echoing voice. If this move is used consecutively by any Pokémon  its power is boosted.,echoed-voice
498,chip away,Normal, Physical,20,70,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,chip-away
499,clear smog,Poison, Special,15,50,The user attacks the target by throwing a clump of special mud. All stat changes are eliminated.,clear-smog
500,stored power,Psychic, Special,10,20,The user attacks the target with stored power. The more the user's stats are boosted  the greater the move's power.,stored-power
501,quick guard,Fighting, Status,15,0,The user protects itself and its allies from priority moves.,quick-guard
502,ally switch,Psychic, Status,15,0,The user teleports using a strange power and switches places with one of its allies. This move's chance of failing rises if it is used in succession.,ally-switch
503,scald,Water, Special,15,80,The user attacks by shooting boiling hot water at the target. This may also leave the target with a burn.,scald
504,shell smash,Normal, Status,15,0,The user breaks its shell  which lowers its Defense and Sp. Def stats but sharply boosts its Attack  Sp. Atk  and Speed stats.,shell-smash
505,heal pulse,Psychic, Status,10,0,The user emits a healing pulse that restores the target's HP by up to half its max HP.,heal-pulse
506,hex,Ghost, Special,10,65,This relentless attack does massive damage to a target affected by status conditions.,hex
507,sky drop,Flying, Physical,10,60,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,sky-drop
508,shift gear,Steel, Status,10,0,The user rotates its gears  boosting its Attack stat and sharply boosting its Speed stat.,shift-gear
509,circle throw,Fighting, Physical,10,60,The target is thrown  and a different Pokémon is dragged out. In the wild  this ends a battle against a single Pokémon.,circle-throw
510,incinerate,Fire, Special,15,60,The user attacks opposing Pokémon with fire. If a Pokémon is holding a certain item  such as a Berry  the item becomes burned up and unusable.,incinerate
511,quash,Dark, Status,15,0,The user suppresses the target and makes its move go last.,quash
512,acrobatics,Flying, Physical,15,55,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,acrobatics
513,reflect type,Normal, Status,15,0,The user reflects the target's type to become the same type as the target.,reflect-type
514,retaliate,Normal, Physical,5,70,The user takes revenge for a fainted ally. This move's power is boosted if an ally fainted in the previous turn.,retaliate
515,final gambit,Fighting, Special,5,0,The user risks everything to attack the target. The user faints but inflicts damage equal to its own HP.,final-gambit
516,bestow,Normal, Status,15,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,bestow
517,inferno,Fire, Special,5,100,The user attacks by engulfing the target in an intense fire. This leaves the target with a burn.,inferno
518,water pledge,Water, Special,10,80,A column of water hits the target. When used with its fire counterpart  this move's power is boosted and a rainbow appears.,water-pledge
519,fire pledge,Fire, Special,10,80,A column of fire hits the target. When used with its grass counterpart  this move's power is boosted and a vast sea of fire appears.,fire-pledge
520,grass pledge,Grass, Special,10,80,A column of grass hits the target. When used with its water counterpart  this move's power is boosted and a vast swamp appears.,grass-pledge
521,volt switch,Electric, Special,20,70,After making its attack  the user rushes back to switch places with a party Pokémon in waiting.,volt-switch
522,struggle bug,Bug, Special,20,50,The user attacks by struggling against opposing Pokémon. This also lowers their Sp. Atk stats.,struggle-bug
523,bulldoze,Ground, Physical,20,60,The user strikes everything around it by stomping down on the ground. This lowers the Speed stats of those hit.,bulldoze
524,frost breath,Ice, Special,10,60,The user attacks by blowing its cold breath on the target. This move always lands a critical hit.,frost-breath
525,dragon tail,Dragon, Physical,10,60,The target is knocked away  and a different Pokémon is dragged out. In the wild  this ends a battle against a single Pokémon.,dragon-tail
526,work up,Normal, Status,30,0,The user is roused  and its Attack and Sp. Atk stats are boosted.,work-up
